task_id,template,workflow,title,category,owner_role,mandatory,has_citations,has_duration,has_priority,has_vendor_type,has_notes,suggested_priority,research_notes,citation_url_1,citation_title_1,citation_url_2,citation_title_2,estimated_duration,vendor_type
fire_safety_compliance,multifamily,,Verify Fire Safety System Compliance,property_specific,vendor,Yes,No,No,No,Yes,Yes,normal,,,,,,,fire_inspector
lead_paint_compliance_multifamily,multifamily,,Verify Lead Paint Compliance for Rental Property,property_specific,seller,Yes,No,No,No,No,Yes,normal,,,,,,,
rental_registration_transfer,multifamily,,Transfer Rental Property Registration,property_specific,buyer,Yes,No,No,No,No,Yes,normal,,,,,,,
eviction_moratorium_check,multifamily,,Review Any Pending Evictions or Legal Actions,property_specific,seller,Yes,No,No,No,No,Yes,normal,,,,,,,
parking_assignment_documentation,multifamily,,Document Parking Assignments and Rules,property_specific,seller,No,No,No,No,No,Yes,normal,,,,,,,
laundry_equipment_status,multifamily,,Document Laundry Equipment Ownership/Leases,property_specific,seller,No,No,No,No,No,Yes,normal,,,,,,,
master_key_system_transfer,multifamily,,Transfer Master Key System and Unit Keys,property_specific,seller,Yes,No,No,No,No,Yes,normal,,,,,,,
historical_vacancy_analysis,multifamily,,Review Historical Vacancy Rates,property_specific,agent,No,No,No,No,No,Yes,normal,,,,,,,
capital_improvement_history,multifamily,,Review Capital Improvement History,property_specific,vendor,Yes,No,No,No,No,Yes,normal,,,,,,,
trash_disposal_arrangements,multifamily,,Document Trash and Recycling Services,property_specific,seller,Yes,No,No,No,No,Yes,normal,,,,,,,
rental_market_analysis,multifamily,,Conduct Rental Market Analysis,property_specific,agent,No,No,No,No,No,Yes,normal,,,,,,,
